n,Label,Shape,Material,Custom?,Shore 00 [/],Shore A [/],Shore D [/],"Gent, Shore A","Reuss, Shore A","Reuss, Shore D","Silicone, Shore 00","Silicone, Shore A","Silicone, Shore D",Modulus [Pa],Trials Recorded?,Radius [m],Notes
247,nail_polish_jar_2,Cylinder,Glass,,,,,,,,,,,6.25E+10,4,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
30,glass_mug,Cylinder,Glass,,,,,,,,,,,6.70E+10,5,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
145,aluminum_cylinder_etched,Cylinder,Metal,,,,,,,,,,,7.00E+10,5,,From machine shop
153,aluminum_cylinder_wide,Cylinder,Metal,,,,,,,,,,,7.00E+10,5,,From machine shop
249,aluminum_cylinder,Cylinder,Metal,,,,,,,,,,,7.00E+10,8,,From machine shop
232,ring,Cylinder,Metal,,,,,,,,,,,8.30E+10,4,,https://en.wikipedia.org/wiki/Silver
156,bronze_bushing,Cylinder,Metal,,,,,,,,,,,1.00E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=66575ff2cd5249c49d76df15b47dbca4
182,heat_insert,Cylinder,Metal,,,,,,,,,,,1.00E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d3bd4617903543ada92f4c101c2a20e5&ckck=1
229,bronze_bushing_big,Cylinder,Metal,,,,,,,,,,,1.00E+11,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=66575ff2cd5249c49d76df15b47dbca4
230,bronze_bushing_massive,Cylinder,Metal,,,,,,,,,,,1.00E+11,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=66575ff2cd5249c49d76df15b47dbca4
271,bronze_bushing_small,Cylinder,Metal,,,,,,,,,,,1.00E+11,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=66575ff2cd5249c49d76df15b47dbca4
280,xacto_knife,Cylinder,Metal,,,,,,,,,,,1.00E+11,8,,
281,flashlight,Cylinder,Metal,,,,,,,,,,,1.50E+11,8,,
32,metal_washer_stack,Cylinder,Metal,,,,,,,,,,,2.00E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=098700ed63b24b14bd3bfdbec937489f
130,screwdriver_tip,Cylinder,Metal,,,,,,,,,,,2.00E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6d63108ce26941c2935af2e1641c818b&ckck=1
140,bearing_small,Cylinder,Metal,,,,,,,,,,,2.00E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6d63108ce26941c2935af2e1641c818b&ckck=1
155,iron_pipe_fitting,Cylinder,Metal,,,,,,,,,,,2.00E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=654ca9c358264b5392d43315d8535b7d
177,bearing_large,Cylinder,Metal,,,,,,,,,,,2.00E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6d63108ce26941c2935af2e1641c818b&ckck=1
58,steel_cylinder,Cylinder,Metal,,,,,,,,,,,2.20E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6d63108ce26941c2935af2e1641c818b&ckck=1
272,steel_cylinder_tiny,Cylinder,Metal,,,,,,,,,,,2.20E+11,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6d63108ce26941c2935af2e1641c818b&ckck=1
51,acrylic_hex,Hex,Plastic,,,,,,,,,,,3.20E+09,5,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
171,pencil,Hex,Wood,,,,,,,,,,,1.10E+10,5,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
152,aluminum_hex,Hex,Metal,,,,,,,,,,,7.00E+10,5,,From machine shop
174,allen_key,Hex,Metal,,,,,,,,,,,2.00E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=098700ed63b24b14bd3bfdbec937489f
223,allen_key_small,Hex,Metal,,,,,,,,,,,2.00E+11,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=098700ed63b24b14bd3bfdbec937489f
224,allen_key_medium,Hex,Metal,,90,,,,,,2.37E+06,,,2.00E+11,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=098700ed63b24b14bd3bfdbec937489f
160,stuffed_animal,Irregular,Foam,,,,,,,,,,,1.00E+04,5,,
86,squishy_animal_1,Irregular,Rubber,,17.5,,,,,,1.30E+04,,,1.30E+04,5,,
87,squishy_animal_2,Irregular,Rubber,,17.5,,,,,,1.30E+04,,,1.30E+04,5,,
88,squishy_animal_3,Irregular,Rubber,,17.5,,,,,,1.30E+04,,,1.30E+04,5,,
89,squishy_animal_4,Irregular,Rubber,,17.5,,,,,,1.30E+04,,,1.30E+04,5,,
90,squishy_animal_5,Irregular,Rubber,,17.5,,,,,,1.30E+04,,,1.30E+04,5,,
214,squishy_animal_6,Irregular,Rubber,,17.5,,,,,,1.30E+04,,,1.30E+04,8,,
215,squishy_animal_7,Irregular,Rubber,,17.5,,,,,,1.30E+04,,,1.30E+04,8,,
216,squishy_animal_8,Irregular,Rubber,,17.5,,,,,,1.30E+04,,,1.30E+04,8,,
80,gummy_bear,Irregular,Food,,40,,,,,,6.54E+04,,,7.00E+04,5,,https://www.ars.usda.gov/ARSUserFiles/60701000/Sweetpotato%20Publications/S116.pdf
81,lifesaver_gummy,Irregular,Food,,40,,,,,,6.54E+04,,,7.00E+04,6,,https://www.ars.usda.gov/ARSUserFiles/60701000/Sweetpotato%20Publications/S116.pdf
186,strawberry,Irregular,Food,,,,,,,,,,,2.00E+05,5,,"https://www.sciencedirect.com/science/article/pii/S0963996923003320#:~:text=For%20'Malwina'%20strawberries%2C%20failure,%2C%20and%200.279%20MPa%2C%20respectively."
258,insole,Irregular,Rubber,,,17.5,,6.37E+05,5.27E+05,,,4.16E+05,,4.00E+05,8,,
259,rubber_pancake,Irregular,Rubber,,,15,,5.57E+05,5.27E+05,,,3.63E+05,,4.00E+05,8,,
15,fake_strawberry,Irregular,Rubber,,75,20,,7.22E+05,8.43E+05,,8.07E+05,4.76E+05,,7.22E+05,5,,
241,rubber_band_bundle,Irregular,Rubber,,,21,,7.57E+05,5.27E+05,,,5.03E+05,,7.57E+05,8,,
242,rubber_band,Irregular,Rubber,,,21,,7.57E+05,5.27E+05,,,5.03E+05,,7.57E+05,8,,
20,ripe_banana,Irregular,Food,,,,,,,,,,,8.00E+05,5,,https://www.researchgate.net/publication/262666426_CHARACTERIZATION_OF_MECHANICAL_PROPERTIES_OF_BANANA_Cavendish_Valery
116,playdoh,Irregular,Rubber,,,,,,,,,,,9.00E+05,5,,https://canvas.harvard.edu/courses/9782/files/2083953/download?verifier=OoJhn03Uwg1b6zsA2rYNh0XYB3YeJaBd6U9Uicx7
138,green_rubber_donut,Irregular,Rubber,,84,28,,1.03E+06,1.02E+06,,1.54E+06,7.34E+05,,1.03E+06,5,,
93,watermelon_eraser,Irregular,Rubber,,84,45,,1.95E+06,1.52E+06,,1.54E+06,1.84E+06,,1.95E+06,5,,
139,red_rubber_donut,Irregular,Rubber,,86,45,,1.95E+06,1.52E+06,,1.78E+06,1.84E+06,,1.95E+06,5,,
95,strawberry_eraser,Irregular,Rubber,,86,47.5,,2.13E+06,1.61E+06,,1.78E+06,2.11E+06,,2.13E+06,5,,
91,lion_eraser,Irregular,Rubber,,86,49,,2.25E+06,1.67E+06,,1.78E+06,2.29E+06,,2.25E+06,5,,
94,crab_eraser,Irregular,Rubber,,87,50,,2.33E+06,1.71E+06,,1.91E+06,2.41E+06,,2.33E+06,5,,
243,zebra_eraser,Irregular,Rubber,,86,50,,2.33E+06,5.27E+05,,1.78E+06,2.41E+06,,2.33E+06,8,,
244,fox_eraser,Irregular,Rubber,,86,50,,2.33E+06,5.27E+05,,1.78E+06,2.41E+06,,2.33E+06,8,,
245,bear_eraser,Irregular,Rubber,,86,50,,2.33E+06,5.27E+05,,1.78E+06,2.41E+06,,2.33E+06,8,,
246,bee_eraser,Irregular,Rubber,,86,50,,2.33E+06,5.27E+05,,1.78E+06,2.41E+06,,2.33E+06,8,,
96,banana_eraser,Irregular,Rubber,,86,50.5,,2.37E+06,1.73E+06,,1.78E+06,2.48E+06,,2.37E+06,5,,
21,unripe_banana,Irregular,Food,,,,,,,,,,,2.50E+06,5,,https://www.researchgate.net/publication/262666426_CHARACTERIZATION_OF_MECHANICAL_PROPERTIES_OF_BANANA_Cavendish_Valery
92,frog_eraser,Irregular,Rubber,,85,53,,2.59E+06,1.83E+06,,1.65E+06,2.84E+06,,2.59E+06,5,,
77,crown_eraser,Irregular,Rubber,,,55,12,2.78E+06,1.92E+06,2.26E+06,,3.16E+06,2.45E+07,2.78E+06,5,,
75,diamond_eraser,Irregular,Rubber,,,57.5,10,3.04E+06,2.04E+06,2.16E+06,,3.62E+06,2.16E+07,3.04E+06,5,,
71,rose_eraser,Irregular,Rubber,,,58,10,3.10E+06,2.06E+06,2.16E+06,,3.72E+06,2.16E+07,3.10E+06,5,,
183,half_rose_eraser,Irregular,Rubber,,,58,10,3.10E+06,2.06E+06,2.16E+06,,3.72E+06,2.16E+07,3.10E+06,5,,
48,motorcycle_eraser,Irregular,Rubber,,90,58.5,9,3.15E+06,2.08E+06,2.11E+06,2.37E+06,3.82E+06,2.02E+07,3.15E+06,5,,
69,heart_eraser,Irregular,Rubber,,,59.5,10,3.27E+06,2.13E+06,2.16E+06,,4.04E+06,2.16E+07,3.27E+06,5,,
67,leaf_eraser,Irregular,Rubber,,,60,12,3.33E+06,2.16E+06,2.26E+06,,4.15E+06,2.45E+07,3.33E+06,5,,
47,car_eraser,Irregular,Rubber,,90,60.5,8,3.39E+06,2.18E+06,2.06E+06,2.37E+06,4.26E+06,1.89E+07,3.39E+06,6,,
135,rubber_spatula,Irregular,Rubber,,,,14,,,2.37E+06,,,2.79E+07,1.67E+07,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=cbe7a469897a47eda563816c86a73520
213,charger_cable,Irregular,Rubber,,,,45,,,4.91E+06,,,2.06E+08,5.00E+07,6,,
137,plastic_measuring_cup,Irregular,Plastic,,,,58,,,6.67E+06,,,4.77E+08,2.57E+08,7,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=08fb0f47ef7e454fbf7092517b2264b2
82,lifesaver_hard,Irregular,Food,,,,,,,,,,,1.00E+09,5,,https://www.cambridge.org/core/journals/journal-of-materials-research/article/abs/mechanical-behavior-assessment-of-sucrose-using-nanoindentation/AA57973260F654668C3F718C672BF0BA
233,pi_usb_cable,Irregular,Plastic,,,,45,,,4.91E+06,,,2.06E+08,1.50E+09,8,,
234,hdmi_adapter,Irregular,Plastic,,,,45,,,4.91E+06,,,2.06E+08,1.50E+09,8,,
124,plastic_knife,Irregular,Plastic,,,,70,,,8.84E+06,,,1.03E+09,1.80E+09,5,,https://www.matweb.com/search/datasheet.aspx?matguid=df6b1ef50ce84e7995bdd1f6fd1b04c9
126,plastic_fork,Irregular,Plastic,,,,,,,,,,,1.80E+09,5,,https://www.matweb.com/search/datasheet.aspx?matguid=df6b1ef50ce84e7995bdd1f6fd1b04c9
128,plastic_spoon,Irregular,Plastic,,,,,,,,,,,1.80E+09,5,,https://www.matweb.com/search/datasheet.aspx?matguid=df6b1ef50ce84e7995bdd1f6fd1b04c9
175,plastic_fork_white,Irregular,Plastic,,,,,,,,,,,1.80E+09,5,,https://www.matweb.com/search/datasheet.aspx?matguid=df6b1ef50ce84e7995bdd1f6fd1b04c9
206,broken_pen,Irregular,Plastic,,,,,,,,,,,2.15E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
211,mechanical_pencil,Irregular,Plastic,,,,,,,,,,,2.15E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
220,buckle,Irregular,Plastic,,,,,,,,,,,2.15E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
107,baby_toy_x,Irregular,Plastic,,,,62.5,,,7.41E+06,,,6.37E+08,2.16E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
108,baby_toy_star,Irregular,Plastic,,,,62.5,,,7.41E+06,,,6.37E+08,2.16E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089647
109,baby_toy_triangle,Irregular,Plastic,,,,62.5,,,7.41E+06,,,6.37E+08,2.16E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089648
225,plastic_clamp,Irregular,Plastic,,,,,,,,,,,2.25E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
257,star_twist,Irregular,Plastic,,,,,,,,,,,2.25E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
42,lego,Irregular,Plastic,,,,,,,,,,,2.35E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
44,lego_pillar,Irregular,Plastic,,,,,,,,,,,2.35E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
45,lego_build,Irregular,Plastic,,,,,,,,,,,2.35E+09,6,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
46,lego_arches,Irregular,Plastic,,,,,,,,,,,2.35E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
78,plastic_bear,Irregular,Plastic,,,,85,,,1.26E+07,,,2.72E+09,2.35E+09,7,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
121,bowl_small_plastic,Irregular,Plastic,,,,72,,,9.27E+06,,,1.18E+09,2.35E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
122,bowl_big_plastic,Irregular,Plastic,,,,70,,,8.84E+06,,,1.03E+09,2.35E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
169,cap_screw_knob,Irregular,Plastic,,,,,,,,,,,2.35E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
181,lego_mech_arm,Irregular,Plastic,,,,,,,,,,,2.35E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
187,expo_cap,Irregular,Plastic,,,,,,,,,,,2.35E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
226,baby_lego_1,Irregular,Plastic,,,,,,,,,,,2.35E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
227,baby_lego_2,Irregular,Plastic,,,,,,,,,,,2.35E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
228,baby_lego_3,Irregular,Plastic,,,,,,,,,,,2.35E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
270,cap_screw_knob_small,Irregular,Plastic,,,,,,,,,,,2.35E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
273,cap_screw_knob_winged,Irregular,Plastic,,,,,,,,,,,2.35E+09,6,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
274,red_electrical_piece,Irregular,Plastic,,,,,,,,,,,2.35E+09,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
144,pipe_junction_small_T,Irregular,Plastic,,,,,,,,,,,2.76E+09,5,,Made of delrin
166,pipe_junction_medium_T,Irregular,Plastic,,,,,,,,,,,2.76E+09,5,,Made of delrin
136,measuring_cups_handle,Irregular,Plastic,,,,70,,,8.84E+06,,,1.03E+09,2.97E+09,5,,https://matweb.com/search/DataSheet.aspx?MatGUID=8d78f3cfcb6f49d595896ce6ce6a2ef1&ckck=1
207,peeler,Irregular,Plastic,,,,,,,,,,,2.97E+09,7,,https://matweb.com/search/DataSheet.aspx?MatGUID=8d78f3cfcb6f49d595896ce6ce6a2ef1&ckck=1
31,vial,Irregular,Glass,,,,,,,,,,,3.10E+09,5,,https://www.matweb.com/search/datasheet.aspx?bassnum=O1303
14,plastic_strawberry,Irregular,Plastic,,,,,,,,,,,3.15E+09,5,,https://www.vinidex.com.au/technical-resources/material-properties/pvc-properties/#:~:text=Elastic%20Modulus%20of%20PVC%2DO%20%E2%80%93%204000%20MPa
194,laser_cut_scraps_1,Irregular,Plastic,,,,,,,,,,,3.20E+09,8,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
195,laser_cut_scraps_2,Irregular,Plastic,,,,,,,,,,,3.20E+09,8,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
199,dice,Irregular,Plastic,,,,,,,,,,,3.20E+09,8,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
269,acrylic_piece,Irregular,Plastic,,,,,,,,,,,3.20E+09,8,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
188,wedge_case,Irregular,Plastic,,,,,,,,,,,3.60E+09,8,,https://s3.amazonaws.com/mf.product.doc.images/Datasheets/Material+Datasheets/CompositesMaterialDatasheet.pdf
189,onyx_finger,Irregular,Plastic,,,,,,,,,,,3.60E+09,8,,https://s3.amazonaws.com/mf.product.doc.images/Datasheets/Material+Datasheets/CompositesMaterialDatasheet.pdf
217,wire_nut,Irregular,Plastic,,,,,,,,,,,4.00E+09,8,,https://www.vinidex.com.au/technical-resources/material-properties/pvc-properties/#:~:text=Elastic%20Modulus%20of%20PVC%2DO%20%E2%80%93%204000%20MPa
115,wooden_arch,Irregular,Wood,,,,,,,,,,,1.00E+10,5,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
117,wooden_spoon,Irregular,Wood,,,,,,,,,,,1.00E+10,5,,https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html
118,wooden_fork,Irregular,Wood,,,,,,,,,,,1.00E+10,5,,https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html
201,ball_string_toy,Irregular,Wood,,,,,,,,,,,1.00E+10,8,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
219,wooden_quarter_cylinder,Irregular,Wood,,,,,,,,,,,1.00E+10,8,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
278,wooden_double_arch,Irregular,Wood,,,,,,,,,,,1.00E+10,8,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
286,door_wedge,Irregular,Wood,,,,,,,,,,,1.00E+10,7,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
123,bowl_ceramic,Irregular,Ceramic,,,,98,,,1.71E+07,,,6.29E+09,5.85E+10,5,,https://www.engineeringtoolbox.com/ceramics-properties-d_1227.html
210,paint_jar,Irregular,Glass,,,,,,,,,,,6.25E+10,8,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
85,aluminum_horse,Irregular,Metal,,,,,,,,,,,7.00E+10,5,,https://www.bestech.com.au/wp-content/uploads/Modulus-of-Elasticity.pdf
154,aluminum_stand,Irregular,Metal,,,,,,,,,,,7.00E+10,5,,From lab
161,angle_bracket,Irregular,Metal,,,,,,,,,,,7.00E+10,5,,From lab
197,c_channel,Irregular,Metal,,,,,,,,,,,7.00E+10,8,,From machine shop
276,angle_bracket_long,Irregular,Metal,,,,,,,,,,,7.00E+10,8,,From lab
192,waterjet_scraps_1,Irregular,Metal,,,,,,,,,,,7.17E+10,8,,"https://www.thomasnet.com/articles/metals-metal-products/all-about-7075-aluminum-properties-strength-and-uses/#:~:text=The%20modulus%20of%20elasticity%20for,tough%2Dyet%2Dlight%20metal."
193,waterjet_scraps_2,Irregular,Metal,,,,,,,,,,,7.17E+10,7,,"https://www.thomasnet.com/articles/metals-metal-products/all-about-7075-aluminum-properties-strength-and-uses/#:~:text=The%20modulus%20of%20elasticity%20for,tough%2Dyet%2Dlight%20metal."
170,brass_connector,Irregular,Metal,,,,,,,,,,,1.00E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d3bd4617903543ada92f4c101c2a20e5&ckck=1
179,coat_hanger,Irregular,Metal,,,,,,,,,,,1.00E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d3bd4617903543ada92f4c101c2a20e5&ckck=1
260,brass_fitting_1,Irregular,Metal,,,,,,,,,,,1.00E+11,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d3bd4617903543ada92f4c101c2a20e5&ckck=1
261,brass_fitting_2,Irregular,Metal,,,,,,,,,,,1.00E+11,8,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d3bd4617903543ada92f4c101c2a20e5&ckck=1
