n,Label,Shape,Material,Custom?,Shore 00 [/],Shore A [/],Shore D [/],"Gent, Shore A","Reuss, Shore A","Reuss, Shore D","Silicone, Shore 00","Silicone, Shore A","Silicone, Shore D",Modulus [Pa],Trials Recorded?,Radius [m],Notes
5,foam_brick,Rectangular,Foam,,32.5,,,,,,3.82E+04,,,3.00E+05,5,,"https://www.matweb.com/search/DataSheet.aspx?MatGUID=91d44cae736e4b36bcba94720654eeae, https://www.pg.gda.pl/mech/kim/AMS/022006/AMS02200605.pdf"
168,foam_rod,Rectangular,Foam,,54,,,,,,1.79E+05,,,3.00E+05,5,,
231,foam_square,Rectangular,Foam,,54,,,,,,1.79E+05,,,3.00E+05,8,,
100,scotch_brite,Rectangular,Foam,,50,10,,4.10E+05,6.67E+05,,1.34E+05,2.77E+05,,4.10E+05,5,,
99,blue_sponge_dry,Rectangular,Foam,,,,,,,,,,,4.50E+05,5,,https://asmedigitalcollection.asme.org/appliedmechanics/article/80/2/020908/370675
239,magnetic_whiteboard_eraser,Rectangular,Rubber,,,25,,9.07E+05,5.27E+05,,,6.24E+05,,9.07E+05,8,,
28,paper_towel_bundle,Rectangular,Paper,,,,,,,,,,,1.30E+06,5,,https://bioresources.cnr.ncsu.edu/wp-content/uploads/2021/11/BioRes_17_1_492_Vieira_VMCFC_Toilet_Paper_Perforation_Efficiency_19308.pdf
66,eraser,Rectangular,Rubber,,90,50,0,2.33E+06,1.71E+06,,2.37E+06,2.41E+06,,2.33E+06,5,,
202,pink_eraser,Rectangular,Rubber,,,63,,3.72E+06,2.32E+06,,,4.88E+06,,3.72E+06,8,,
97,mousepad,Rectangular,Rubber,,72.5,30,,1.12E+06,1.07E+06,,6.74E+05,8.18E+05,,5.00E+06,5,,"Hardness measurement double-checked with: https://hapcoincorporated.com/resources/hardness-comparison-chart/, https://moldedgroup.com/comparative-physical-mechanical-and-thermal-properties/ , https://designerdata.nl/materials/plastics/rubbers/styrene-butadiene-rubber "
157,whiteboard_eraser,Rectangular,Foam,,,45,,1.95E+06,1.52E+06,,,1.84E+06,,4.00E+08,5,,https://www.matweb.com/search/datasheet.aspx?matguid=5f099f2b5eeb41cba804ca0bc64fa62f
159,cutting_board,Rectangular,Plastic,,,,,,,,,,,1.00E+09,5,,https://www.matweb.com/search/datasheet_print.aspx?matguid=fce23f90005d4fbe8e12a1bce53ebdc8
236,remote,Rectangular,Plastic,,,,,,,,,,,2.70E+09,8,,"https://omnexus.specialchem.com/polymer-property/young-modulus#:~:text=The%20modulus%20of%20elasticity%20of%20nylon,GPa%20(0.4%20x%20106%20psi)"
237,gel_mold,Rectangular,Plastic,,,,,,,,,,,2.70E+09,8,,"https://omnexus.specialchem.com/polymer-property/young-modulus#:~:text=The%20modulus%20of%20elasticity%20of%20nylon,GPa%20(0.4%20x%20106%20psi)"
251,delrin_rectangle,Rectangular,Plastic,,,,,,,,,,,2.76E+09,7,,https://laminatedplastics.com/delrin.pdf
164,iphone_brick,Rectangular,Plastic,,,,,,,,,,,2.97E+09,5,,https://matweb.com/search/DataSheet.aspx?MatGUID=8d78f3cfcb6f49d595896ce6ce6a2ef1&ckck=1
112,wooden_rectangle,Rectangular,Wood,,,,,,,,,,,1.00E+10,5,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
113,wooden_cube,Rectangular,Wood,,,,,,,,,,,1.00E+10,5,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
162,wooden_sheet,Rectangular,Wood,,,,,,,,,,,1.00E+10,5,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
165,taped_wooden_cubes,Rectangular,Wood,,,,,,,,,,,1.00E+10,5,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
176,wooden_plank,Rectangular,Wood,,,,,,,,,,,1.00E+10,5,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
190,popsicle_stick,Rectangular,Wood,,,,,,,,,,,1.19E+10,7,,https://www.matweb.com/search/datasheet_print.aspx?matguid=c499c231f20d4284a4da8bea3d2644fc
191,popsicle_stick_wide,Rectangular,Wood,,,,,,,,,,,1.19E+10,6,,https://www.matweb.com/search/datasheet_print.aspx?matguid=c499c231f20d4284a4da8bea3d2644fc
148,extrusion_big,Rectangular,Metal,,,,,,,,,,,7.00E+10,5,,From machine shop
149,extrusion_small,Rectangular,Metal,,,,,,,,,,,7.00E+10,5,,From machine shop
150,extrusion_double,Rectangular,Metal,,,,,,,,,,,7.00E+10,5,,From machine shop
151,aluminum_square,Rectangular,Metal,,,,,,,,,,,7.00E+10,5,,From machine shop
172,aluminum_square_rod,Rectangular,Metal,,,,,,,,,,,7.00E+10,5,,From machine shop
196,extrusion,Rectangular,Metal,,,,,,,,,,,7.00E+10,7,,From machine shop
222,extrusion_tiny,Rectangular,Metal,,,,,,,,,,,7.00E+10,8,,From machine shop
250,aluminum_plate_waterjet,Rectangular,Metal,,,,,,,,,,,7.00E+10,8,,From machine shop
102,racquet_ball,Sphere,Rubber,,94,60.5,,3.39E+06,2.18E+06,,3.16E+06,4.26E+06,,0.00E+00,5,,
7,orange_elastic_ball,Sphere,Rubber,,30,,,,,,3.19E+04,,,3.19E+04,5,0.025,
11,rubber_egg,Sphere,Rubber,,40,,,,,,6.54E+04,,,6.54E+04,5,,
279,red_elastic_ball,Sphere,Rubber,,43,,,,,,8.11E+04,,,8.11E+04,8,0.025,
8,green_elastic_ball,Sphere,Rubber,,45,,,,,,9.36E+04,,,9.36E+04,5,0.025,
9,blue_elastic_ball,Sphere,Rubber,,55,,,,,,1.92E+05,,,1.92E+05,5,0.025,
10,purple_elastic_ball,Sphere,Rubber,,62,2,,2.04E+05,5.53E+05,,3.17E+05,1.80E+05,,2.04E+05,5,0.025,
